id,timestamp,value,property,plug_id,household_id,house_id
801,1633073849,104.3056964576905,1,35,2,3
802,1621791142,3266.3150961866504,0,8,2,5
803,1625538445,1661.5731267755446,1,3,6,3
804,1620857566,2712.3931785968375,1,14,4,4
805,1614542969,2466.384233918998,1,13,10,3
806,1626770052,407.6324477621335,1,45,3,5
807,1620886178,2016.3068056191591,1,32,3,1
808,1630468822,1102.8056246116164,1,34,3,5
809,1638893788,2091.9989433382634,1,45,6,1
810,1640232682,1017.8914017112132,1,19,8,2
811,1621083466,4202.262031384667,0,38,7,5
812,1619624011,870.9666828912682,0,16,4,5
813,1611735560,4803.902757434885,1,2,4,4
814,1625342537,2079.536830734704,1,40,10,3
815,1613867449,4231.226460095247,0,17,2,1
816,1613885419,3143.8240910297254,0,34,1,1
817,1620382437,3676.751493328763,0,42,9,4
818,1635150854,3838.619440333902,1,16,2,4
819,1627568813,2524.224409465089,0,38,8,3
820,1633754252,2716.502616816442,1,2,9,3
821,1625893543,2569.979339043625,1,2,4,5
822,1619984041,2940.2918904503963,0,26,8,2
823,1635343240,146.97222878253646,1,13,9,3
824,1616105905,1977.575849245076,1,47,10,4
825,1614922010,3030.9435678058576,1,31,10,3
826,1622847609,2988.617826279322,1,34,5,1
827,1635142337,3964.7804730281578,0,39,7,2
828,1623305220,3275.0466941605428,0,3,10,5
829,1633140252,4960.666581703362,1,8,4,1
830,1638290084,1419.2726430432251,1,23,1,1
831,1638087589,1795.7551483311574,0,14,3,2
832,1619185490,1919.235759338981,1,27,5,5
833,1623118983,2329.0640351012426,0,29,3,4
834,1639881711,4179.990318906047,1,39,7,5
835,1625623404,1178.9604697960492,1,39,9,3
836,1624296768,3880.001035177147,0,1,6,1
837,1632480085,2026.550915428717,0,17,10,3
838,1610745843,3009.2769183100427,0,41,1,4
839,1619381392,3162.7026661315303,0,30,7,3
840,1617774590,1864.2431859446724,1,13,3,5
841,1615659846,2563.076026029026,0,21,5,3
842,1616443096,2065.155873238485,1,19,10,4
843,1635019564,345.6639309330972,0,19,4,4
844,1623968387,2185.8269440841327,0,25,10,4
845,1637240099,486.9669627677608,1,22,5,5
846,1614869061,2025.1039954016076,0,31,5,4
847,1631175419,2964.5919991589094,0,17,6,1
848,1632547742,2897.0744967175037,0,23,10,4
849,1631382802,3313.106395041602,0,32,10,3
850,1625391036,476.30753977313145,1,10,6,3
851,1622290795,3260.6162276521895,1,10,8,3
852,1625422517,1560.740283482235,0,36,8,5
853,1617874598,1995.2297306855555,0,8,9,3
854,1619539546,4289.9312696135285,0,20,8,5
855,1637533897,45.15202064775126,1,32,2,5
856,1609907545,2942.063166703027,1,50,10,4
857,1618596882,2993.5699005005376,1,14,1,1
858,1617286694,1983.29888171781,1,50,10,4
859,1629921917,1185.139285541681,0,28,2,4
860,1611338690,1173.3701913077557,0,46,2,5
861,1625274028,4418.548348303763,0,24,3,5
862,1624668300,2210.1218689142875,1,15,10,3
863,1638512881,1654.4468149458596,0,22,7,3
864,1614443645,2243.8878691570153,1,30,2,4
865,1616398905,3346.952007296806,1,4,1,2
866,1637801107,728.7828412237585,0,13,6,2
867,1616461787,2247.169176068689,0,23,9,3
868,1616201671,2939.421855551934,0,8,3,2
869,1610914108,4742.916774257169,1,18,6,3
870,1620101502,1262.6389103770964,1,12,3,5
871,1612778344,1796.2537395812278,0,31,1,4
872,1618152870,1896.792949612119,0,14,5,1
873,1626026496,3027.690788224414,1,34,10,4
874,1615265666,1783.6602652000083,0,18,4,3
875,1631981004,2667.559626498478,1,34,7,3
876,1622908763,3908.951649225147,1,11,6,4
877,1614763709,3526.927970561018,0,41,10,3
878,1617127416,2231.843232562928,0,12,7,2
879,1614408699,4321.080888370844,0,49,5,2
880,1628623728,2790.7012479693144,0,15,4,3
881,1629930392,2699.529197511062,1,31,7,3
882,1615522103,170.93882969579087,1,49,7,2
883,1630644640,4933.464901785808,1,29,6,3
884,1630271909,614.8540426481336,0,26,8,3
885,1638013556,1155.6545621382331,1,18,4,4
886,1619273349,258.4841862076348,0,32,10,1
